cities,Atlanta,Boston,Boulder,Chicago,Cleveland,Disneyland,Miami,New Orleans,New York,Portland,San Francisco,Seattle,Yakima,Albuquerque,Phoenix,Las Vegas,Reno,Boise,Salt Lake City,Billings,San Antonio,Oklahoma City,Fargo,Omaha,Memphis,Indianapolis,Charlottesville,Augusta,Buffalo
Atlanta,0,-1,-1,-1,724,-1,663,487,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,549,509,-1,-1
Boston,-1,0,-1,982,640,-1,-1,-1,215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,162,458
Boulder,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,468,-1,764,-1,792,501,549,975,737,890,550,-1,-1,-1,-1,-1
Chicago,-1,982,-1,0,344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,806,664,469,557,209,-1,-1,-1
Cleveland,724,640,-1,344,0,-1,-1,-1,461,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,312,443,-1,189
Disneyland,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,408,-1,-1,-1,356,279,493,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Miami,663,-1,-1,-1,-1,-1,0,864,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1061,-1,1022,-1,-1
New Orleans,487,-1,-1,-1,-1,-1,864,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,550,635,-1,-1,402,-1,-1,-1,-1
New York,-1,215,-1,-1,461,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,344,-1,393
Portland,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,635,173,185,-1,-1,-1,535,435,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
San Francisco,-1,-1,-1,-1,-1,408,-1,-1,-1,635,0,-1,-1,-1,-1,590,235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Seattle,-1,-1,-1,-1,-1,-1,-1,-1,-1,173,-1,0,142,-1,-1,-1,-1,-1,-1,830,-1,-1,-1,-1,-1,-1,-1,-1,-1
Yakima,-1,-1,-1,-1,-1,-1,-1,-1,-1,185,-1,142,0,-1,-1,-1,615,364,-1,761,-1,-1,-1,-1,-1,-1,-1,-1,-1
Albuquerque,-1,-1,468,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,418,591,-1,-1,596,-1,729,613,-1,882,-1,-1,-1,-1,-1
Phoenix,-1,-1,-1,-1,-1,356,-1,-1,-1,-1,-1,-1,-1,418,0,300,-1,-1,676,-1,985,-1,-1,-1,-1,-1,-1,-1,-1
Las Vegas,-1,-1,764,-1,-1,279,-1,-1,-1,-1,590,-1,-1,591,300,0,451,676,423,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Reno,-1,-1,-1,-1,-1,493,-1,-1,-1,535,235,-1,615,-1,-1,451,0,427,514,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Boise,-1,-1,792,-1,-1,-1,-1,-1,-1,435,-1,-1,364,-1,-1,676,427,0,348,617,-1,-1,-1,-1,-1,-1,-1,-1,-1
Salt Lake City,-1,-1,501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,596,676,423,514,348,0,570,-1,-1,1131,-1,-1,-1,-1,-1,-1
Billings,-1,-1,549,-1,-1,-1,-1,-1,-1,-1,-1,830,761,-1,-1,-1,-1,617,570,0,-1,-1,609,839,-1,-1,-1,-1,-1
San Antonio,-1,-1,975,-1,-1,-1,-1,550,-1,-1,-1,-1,-1,729,985,-1,-1,-1,-1,-1,0,448,-1,-1,735,-1,-1,-1,-1
Oklahoma City,-1,-1,737,806,-1,-1,-1,635,-1,-1,-1,-1,-1,613,-1,-1,-1,-1,-1,-1,448,0,-1,498,460,748,-1,-1,-1
Fargo,-1,-1,890,664,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1131,609,-1,-1,0,415,-1,-1,-1,-1,-1
Omaha,-1,469,550,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,882,-1,-1,-1,-1,-1,839,-1,498,415,0,639,609,-1,-1,-1
Memphis,400,-1,-1,557,-1,-1,1061,402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,735,460,-1,639,0,490,770,-1,-1
Indianapolis,549,-1,-1,209,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,748,-1,609,490,0,563,-1,-1
Charlottesville,509,-1,-1,-1,443,-1,1022,-1,344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,770,563,0,-1,455
Augusta,-1,162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,612
Buffalo,-1,458,-1,-1,189,-1,-1,-1,393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,455,612,0
